category_id,description,level_id,スタディ,ヘルス,モラル,コミュニケーション
3,公共の場で騒がない,4,0,0,40,0
3,授業中にスマホ・ゲームをしない,4,20,0,20,0
3,授業中はマナーモードにする,4,10,0,30,0
3,席をひとにゆずる,4,0,0,20,20
3,相手の目を見て挨拶する,4,0,0,20,20
3,締め切りを守る,4,20,0,10,10
3,年上との接し方を見直す,4,0,0,20,20
3,分煙する,4,0,20,20,0
3,ごみを拾う,5,0,0,50,0
3,家族を大切にする,5,0,0,50,0
3,節電する,5,0,0,50,0
3,遅刻・欠席しない,5,20,0,30,0
3,通学途中や大学内でごみを見かけたら拾う,5,0,20,30,0
3,年上の人を敬う,5,0,0,10,40
3,いつもより一時間早く起きる,6,0,60,0,0
3,ながらスマホをしない,6,0,0,60,0
3,交通ルールを守る,6,10,0,50,0
3,自転車に乗るときは路側帯を走る,6,0,0,60,0
3,学校の規律を守る,7,40,10,20,0
3,道端でのながら行動をしない,7,0,0,70,0
3,返事をしっかりする,7,0,0,40,30
3,コップでジュースを飲む,8,0,0,50,30
3,困ってる人を助ける,8,0,0,50,30
3,授業中は先生の話を聞く,8,40,0,40,0
3,人を助ける,8,5,40,30,5
3,5分前行動する,9,0,50,40,0
3,ボランティアに参加する,9,10,10,60,10
3,毎日掃除をする,9,0,10,80,0
3,落ち着いた話し方を意識しながら話す,9,10,30,40,10
4,SNSでコミュニケーションをする,1,0,0,5,5
4,SNSの発言に気をつける,1,0,0,5,5
4,何かしてもらった時にありがとうと言う,1,0,0,9,1
4,家でもSNS等で友人と会話する,1,0,0,0,10
4,研究室で先生と話す,1,0,0,0,10
4,友人と共通の話題／趣味で仲を深める,1,0,0,0,10
4,友人と行動を共にする,1,0,5,0,5
4,友人と遊ぶ,1,0,0,5,5
4,遊ぶ,1,0,0,0,10
4,SNSに反応する,2,0,0,5,15
4,あいさつをする,2,0,0,10,10
4,サークル・部活の先輩と交流する,2,0,0,10,10
4,すれ違った教師に挨拶する,2,0,0,10,10
4,ラインやメールをする,2,0,0,10,10
4,会話で相手を笑顔にする,2,0,5,5,10
4,校内で先生と会ったら挨拶する,2,0,0,5,15
4,雑談をする,2,0,0,0,20
4,趣味（対人系）を楽しむ,2,5,5,5,5
4,授業中先生の顔を見て話を聞く,2,10,0,0,10
4,笑顔で話す,2,0,0,0,20
4,食事は人と一緒にとる,2,0,0,0,20
4,先生と友達に挨拶する,2,0,0,0,20
4,先生の質問に答える,2,10,0,0,10
4,相手に聞こえる声で挨拶する,2,0,0,10,10
4,友人と一緒に勉強をする,2,10,0,0,10
4,綺麗な言葉を使う,2,5,0,10,5
4,LINEを一日三回する,3,0,0,0,30
4,会話や授業でのはなしなどに相づちをする,3,0,0,20,10
4,最近連絡を取ってない友人にメール等をする,3,0,0,0,30
4,三人の人と会話する,3,10,0,0,20
4,社会に出た人と話をする,3,5,0,5,20
4,社会人と交流する,3,10,0,10,10
4,授業内容以外のことで教師と会話してみる,3,0,0,10,20
4,笑顔で挨拶をする,3,0,0,0,30
4,人の目を見て話す聞く,3,0,0,15,15
4,友達とご飯を食べる,3,0,15,0,15
4,友達とニュースについて話し合う,3,10,0,10,10
4,お年寄りの方を大切にする,4,0,0,20,20
4,サークル・部活に参加する,4,10,10,0,20
4,ニコ動でコメントする,4,0,0,0,40
4,ほかの学部とグループワークをする,4,10,0,0,30
4,近所の人とあいさつをする,4,0,0,20,20
4,先生と会話をする,4,20,0,0,20
4,相手の心境や周りのことを考え行動する,4,0,0,20,20
4,"大学関係だけでなく、近所付き合いも大切にする",4,0,0,20,20
4,年上の人に敬語を使う,4,5,0,20,15
4,分からないことは質問する,4,10,0,15,15
4,友達と遊びに行く,4,0,20,0,20
4,1日3回は人と話す,5,0,0,25,25
4,グループワークで話し合う,5,25,0,0,25
4,グループワークの人と仲良くする,5,0,0,25,25
4,会話時に人の顔を見て笑顔で話す,5,0,0,25,25
4,授業中なるべく発言する,5,25,0,0,25
4,授業中に質問する,5,30,0,0,20
4,授業中に手を挙げる,5,20,0,0,30
4,授業中分からない事は聞く,5,25,0,0,25
4,場の空気を読む,5,0,0,25,25
4,人の集まるイベントに参加する,5,0,5,15,30
4,先生に質問する,5,25,0,0,25
4,他の学部の人と交流する,5,25,0,0,25
4,同じ学科・クラスの人と話す,5,0,0,25,25
4,毎日五人にあいさつする,5,0,0,20,30
4,目を見て人と話をする,5,0,0,15,35
4,友達のいいところを褒めてみる,5,0,0,10,40
4,グループワークに積極的に参加する,6,20,0,0,40
4,ほかの学部の人に質問する,6,20,0,20,20
4,よく笑う,6,0,10,10,40
4,意見に対して肯定・否定をする,6,0,0,0,60
4,何か家事を手伝う,6,0,0,30,30
4,自分のことを正確に伝える,6,30,0,10,20
4,"質問されたことに対して調べたり、聞く",6,20,0,20,20
4,先輩と話す,6,20,0,0,40
4,他愛ない無駄な会話をする,6,5,5,10,40
4,知らない人と話をする,6,0,0,0,60
4,道を聞いてみる／聞かれてみる,6,0,0,20,40
4,アルバイトをする,7,10,0,20,40
4,一日一回発言する,7,30,0,20,20
4,家族と連絡する,7,0,0,0,70
4,期間中に一回はボランティアをする,8,20,20,20,20
4,自分が解決出来そうにないときは他人に聞く,8,15,0,15,50
4,授業で発表する,8,70,0,0,20
4,合コンに行く,9,0,0,10,80
4,先生の研究室に行く,9,45,0,0,45
4,地域の人々と交流する,9,0,0,40,50
4,悩み事を相談する,9,0,30,0,60
nil,Webサイトアクセスボーナス,nil,2,2,2,2
